2017/11/17 15:48:00 : init
2017/11/17 15:48:00 : stop instance
2017/11/17 15:48:00 : prepare install for instance
2017/11/17 15:48:00 : install instance
2017/11/17 15:48:00 : configure instance
2017/11/17 15:48:00 : start instance
2017/11/17 17:59:19 : start instance
2017/11/18 08:48:12 : start instance
2017/11/19 07:02:31 : start instance
2017/11/20 08:36:32 : start instance
2017/11/23 05:57:33 : stop instance
2017/11/23 05:58:23 : start instance
2017/11/23 06:30:03 : stop instance
2017/11/23 06:30:49 : start instance
2017/11/28 13:17:24 : stop instance
2017/11/28 13:18:11 : start instance
2017/11/28 14:54:08 : stop instance
2017/11/28 14:54:59 : start instance
2017/11/28 16:48:18 : stop instance
2017/11/28 16:48:58 : start instance
2017/11/29 05:33:24 : start instance
