2017/11/17 15:47:22 : init
2017/11/17 15:47:22 : stop instance
2017/11/17 15:47:22 : prepare install for instance
2017/11/17 15:47:22 : install instance
2017/11/17 15:47:24 : configure instance
2017/11/17 15:47:25 : start instance
2017/11/17 17:59:28 : start instance
2017/11/17 17:59:29 : start instance
2017/11/18 08:48:21 : start instance
2017/11/18 08:48:21 : start instance
2017/11/19 07:02:40 : start instance
2017/11/19 07:02:41 : start instance
2017/11/20 08:36:40 : start instance
2017/11/20 08:36:41 : start instance
2017/11/23 05:57:33 : stop instance
2017/11/23 05:58:32 : start instance
2017/11/23 05:58:33 : start instance
2017/11/23 06:30:03 : stop instance
2017/11/23 06:30:59 : start instance
2017/11/23 06:30:59 : start instance
2017/11/28 13:17:24 : stop instance
2017/11/28 13:18:22 : start instance
2017/11/28 13:18:22 : start instance
2017/11/28 14:54:09 : stop instance
2017/11/28 14:55:09 : start instance
2017/11/28 14:55:10 : start instance
2017/11/28 16:48:18 : stop instance
2017/11/28 16:49:09 : start instance
2017/11/28 16:49:09 : start instance
2017/11/29 05:33:33 : start instance
2017/11/29 05:33:33 : start instance
