2017/11/17 15:47:46 : init
2017/11/17 15:47:46 : stop instance
2017/11/17 15:47:46 : prepare install for instance
2017/11/17 15:47:46 : install instance
2017/11/17 15:47:48 : configure instance
2017/11/17 15:47:48 : start instance
2017/11/17 17:59:00 : start instance
2017/11/17 17:59:28 : start instance
2017/11/18 08:47:51 : start instance
2017/11/18 08:48:21 : start instance
2017/11/19 07:02:14 : start instance
2017/11/19 07:02:40 : start instance
2017/11/20 08:36:17 : start instance
2017/11/20 08:36:40 : start instance
2017/11/23 05:57:32 : stop instance
2017/11/23 05:58:03 : start instance
2017/11/23 05:58:32 : start instance
2017/11/23 06:30:02 : stop instance
2017/11/23 06:30:32 : start instance
2017/11/23 06:30:59 : start instance
2017/11/28 13:17:23 : stop instance
2017/11/28 13:17:53 : start instance
2017/11/28 13:18:22 : start instance
2017/11/28 14:54:08 : stop instance
2017/11/28 14:54:39 : start instance
2017/11/28 14:55:10 : start instance
2017/11/28 16:48:18 : stop instance
2017/11/28 16:48:40 : start instance
2017/11/28 16:49:09 : start instance
2017/11/29 05:33:07 : start instance
2017/11/29 05:33:33 : start instance
